ident;size;scanDuration;chunksTested;matchesAdded;appraisal;Cnt;CntDom;CntCode;CntData;#Blob;#Blob Stream Header;#GUID;#Strings;#Strings Stream Header;#US;#US Stream Header;#~;.data;.idata;.pdata;.rdata;.reloc;.rsrc;.text;0x2e 0x6b 0x66 0x6c 0x78 0x00 0xcc 0xcc ;DotNet Header;_RDATA;a$F-sH-*;methods;unknown
EXE PE64;326760;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;326760;57;244;50;Fragile;32;11;18;14;0;0;0;0;0;0;0;0;0;12;0;2;0;0;18;0;0;0;0;0;0
EXE PE64;326760;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;9650176;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;9650176;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;9650176;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;59904;102;476;143;Fragile;51;39;0;51;2;0;1;12;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;59904;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;59904;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;38912;12;217;49;Fragile;26;14;0;26;3;0;0;15;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;38912;2;175;29;Fragile;24;2;15;9;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;15;0
EXE PE.NET;38912;26;344;88;Fragile;35;29;11;24;0;0;0;10;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;11;0
EXE PE64;147968;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;147968;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;147968;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;5956938;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;5956938;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;5956938;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;93184;25;311;125;Fragile;31;31;0;31;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0
EXE PE64;93184;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;93184;2;32;10;Fragile;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
EXE PE.NET;643584;122;311;63;Fragile;41;40;0;41;0;1;0;23;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;643584;22;26;6;One;5;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
EXE PE.NET;643584;12;72;9;Fragile;5;2;1;4;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
EXE PE.NET;611840;72;336;74;Fragile;50;16;0;50;0;1;0;40;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;611840;23;26;6;One;5;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
EXE PE.NET;611840;32;126;17;Fragile;13;3;1;12;0;1;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
EXE PE64;6071069;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;6071069;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;6071069;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;472576;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;472576;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE64;472576;16;57;11;One;7;1;1;6;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0
